Fase-Ep | Train Loss | Val Loss | Val Acc | Learning Rate
-----------------------------------------------------------------
A-1     | 2.0336 | 1.7134 | 0.5418 | 4.172752e-05
A-2     | 1.6253 | 1.6132 | 0.5864 | 1.120152e-04
A-3     | 1.5200 | 1.6305 | 0.5750 | 2.080264e-04
A-4     | 1.4922 | 1.7208 | 0.5425 | 3.040305e-04
A-5     | 1.5015 | 1.7114 | 0.5409 | 3.742989e-04
A-6     | 1.4850 | 1.7254 | 0.5351 | 4.000000e-04
A-7     | 1.4377 | 1.7296 | 0.5441 | 3.949804e-04
A-8     | 1.3635 | 1.6745 | 0.5716 | 3.801836e-04
A-9     | 1.2786 | 1.7128 | 0.5636 | 3.563518e-04
B-1     | 1.4268 | 1.5045 | 0.6288 | 1.043188e-05
B-2     | 1.3371 | 1.4753 | 0.6354 | 2.800381e-05
B-3     | 1.2781 | 1.4809 | 0.6391 | 5.200659e-05
B-4     | 1.2043 | 1.5184 | 0.6289 | 7.600761e-05
B-5     | 1.1230 | 1.5171 | 0.6353 | 9.357471e-05
B-6     | 1.0360 | 1.5373 | 0.6364 | 1.000000e-04
B-7     | 0.9450 | 1.5674 | 0.6401 | 9.874509e-05
B-8     | 0.8693 | 1.6009 | 0.6435 | 9.504591e-05
B-9     | 0.8190 | 1.6355 | 0.6384 | 8.908795e-05
B_cont-1 | 0.7441 | 1.5105 | 0.6754 | 1.057544e-05
B_cont-2 | 0.7110 | 1.5553 | 0.6708 | 3.017357e-05
B_cont-3 | 0.7081 | 1.6082 | 0.6630 | 4.678919e-05
B_cont-4 | 0.7106 | 1.6325 | 0.6574 | 4.972004e-05
B_cont-5 | 0.6981 | 1.6457 | 0.6583 | 4.664820e-05
B_cont-6 | 0.6850 | 1.6517 | 0.6637 | 4.058345e-05
B_cont-7 | 0.6700 | 1.6294 | 0.6733 | 3.236426e-05
B_cont-8 | 0.6534 | 1.6447 | 0.6710 | 2.312696e-05
B_cont-9 | 0.6420 | 1.6308 | 0.6765 | 1.414863e-05
B_cont-10 | 0.6366 | 1.6219 | 0.6834 | 6.670540e-06
B_cont-11 | 0.6313 | 1.6184 | 0.6836 | 1.726558e-06
B_cont-12 | 0.6296 | 1.6183 | 0.6820 | 2.004813e-10
C-1     | 0.6338 | 1.6237 | 0.6804 | 1.523049e-06
C-2     | 0.6334 | 1.6375 | 0.6788 | 4.366681e-06
C-3     | 0.6360 | 1.6488 | 0.6756 | 7.600254e-06
C-4     | 0.6371 | 1.6504 | 0.6758 | 9.710658e-06
C-5     | 0.6394 | 1.6734 | 0.6739 | 9.944125e-06
C-6     | 0.6368 | 1.6746 | 0.6731 | 9.504761e-06
C-7     | 0.6349 | 1.6497 | 0.6797 | 8.665131e-06
C-8     | 0.6324 | 1.6718 | 0.6758 | 7.499840e-06
C-9     | 0.6304 | 1.6756 | 0.6777 | 6.112429e-06
C-10    | 0.6261 | 1.6710 | 0.6832 | 4.626175e-06
C-11    | 0.6243 | 1.6649 | 0.6823 | 3.173140e-06
C-12    | 0.6229 | 1.6540 | 0.6834 | 1.882430e-06
C-13    | 0.6212 | 1.6517 | 0.6876 | 8.687321e-07
C-14    | 0.6195 | 1.6488 | 0.6863 | 2.221172e-07
C-15    | 0.6190 | 1.6492 | 0.6869 | 4.000385e-11
